 ListingID,Link,lat,lng,Bedrooms,Star Rating,Reviews,Price,Occupancy,Revenue,Active Nights,Min Stay,Dynamic Pricing,id
50921228,[ABnB](https://www.airbnb.com/rooms/50921228),16.77293,-99.78241,2,5.0,2,1499,58,89603,62,2,None,171
39491023,[ABnB](https://www.airbnb.com/rooms/39491023),16.76816,-99.78588,2,-NA,0,10945,0,0,0,7,None,172
35464276,[ABnB](https://www.airbnb.com/rooms/35464276),16.76151,-99.77873,2,4.88,41,5955,80,1807113,291,1,None,173
50960772,[ABnB](https://www.airbnb.com/rooms/50960772),16.76274,-99.78349,2,-NA,0,2998,47,176874,57,3,None,174
48570286,[ABnB](https://www.airbnb.com/rooms/48570286),16.773130000000002,-99.78201,2,4.46,13,1396,19,80724,49,2,None,175
45925376,[ABnB](https://www.airbnb.com/rooms/45925376),16.7618,-99.77744,2,4.58,12,1786,10,75181,36,1,None,176
48283544,[ABnB](https://www.airbnb.com/rooms/48283544),16.77346,-99.78096,2,4.08,13,1191,30,90336,87,1,None,177
46065339,[ABnB](https://www.airbnb.com/rooms/46065339),16.76201,-99.77657,2,4.62,13,1006,23,74737,73,2,Low,178
37835227,[ABnB](https://www.airbnb.com/rooms/37835227),16.76831,-99.78605,2,4.89,53,4579,80,1355495,292,2,Low,179
38554145,[ABnB](https://www.airbnb.com/rooms/38554145),16.76907,-99.78594,2,-NA,0,5174,0,0,0,3,None,180
39507818,[ABnB](https://www.airbnb.com/rooms/39507818),16.76859,-99.78606,2,-NA,0,11582,2,67357,8,7,None,181
43040336,[ABnB](https://www.airbnb.com/rooms/43040336),16.7683,-99.78615,2,-NA,0,10267,12,335553,43,5,None,182
50488596,[ABnB](https://www.airbnb.com/rooms/50488596),16.76836,-99.78616,2,-NA,0,14272,0,14272,1,7,None,183
51806455,[ABnB](https://www.airbnb.com/rooms/51806455),16.76948,-99.78593,2,-NA,0,2587,15,38812,15,7,None,184
42201469,[ABnB](https://www.airbnb.com/rooms/42201469),16.77355,-99.7819,2,4.8,20,1211,62,194598,228,1,Moderate,185
43580109,[ABnB](https://www.airbnb.com/rooms/43580109),16.76842,-99.78627,2,-Unknown,1,4990,2,46041,8,2,None,186
51946473,[ABnB](https://www.airbnb.com/rooms/51946473),16.77326,-99.78271,2,-NA,0,2238,2,6592,3,2,None,187
39503422,[ABnB](https://www.airbnb.com/rooms/39503422),16.77359,-99.78202,2,5.0,10,1416,15,70110,55,2,None,188
35618851,[ABnB](https://www.airbnb.com/rooms/35618851),16.76108,-99.77844,2,4.93,28,7043,84,2210686,308,1,None,189
46690755,[ABnB](https://www.airbnb.com/rooms/46690755),16.76996,-99.78606,2,4.9,20,1889,66,263177,151,2,Low,190
41041899,[ABnB](https://www.airbnb.com/rooms/41041899),16.77386,-99.78172,2,4.78,18,1293,22,170694,82,1,None,191
20817492,[ABnB](https://www.airbnb.com/rooms/20817492),16.7739,-99.78162,2,4.23,79,1191,55,230672,201,2,None,192
41379656,[ABnB](https://www.airbnb.com/rooms/41379656),16.76101,-99.77783,2,-NA,0,5503,15,307583,55,2,None,193
48243264,[ABnB](https://www.airbnb.com/rooms/48243264),16.773785,-99.782158,2,4.9,10,1355,49,139519,113,2,Low,194
48119514,[ABnB](https://www.airbnb.com/rooms/48119514),16.77379,-99.78216,2,4.73,15,1293,48,178728,144,2,Low,195
23207193,[ABnB](https://www.airbnb.com/rooms/23207193),16.77316,-99.7757,2,4.52,26,1499,27,168173,99,2,None,196
50212353,[ABnB](https://www.airbnb.com/rooms/50212353),16.76953,-99.78633,2,-NA,0,14272,1,42817,3,7,None,197
39605474,[ABnB](https://www.airbnb.com/rooms/39605474),16.76814,-99.78662,2,-Unknown,1,11582,1,47129,5,7,None,198
39603811,[ABnB](https://www.airbnb.com/rooms/39603811),16.76874,-99.78655,2,-NA,0,10493,0,0,0,7,None,199
49038650,[ABnB](https://www.airbnb.com/rooms/49038650),16.76157,-99.77617,2,-NA,0,2484,0,2526,1,2,None,200
46265060,[ABnB](https://www.airbnb.com/rooms/46265060),16.76826,-99.78664,2,-NA,0,4291,0,3450,1,7,None,201
48962334,[ABnB](https://www.airbnb.com/rooms/48962334),16.76123,-99.7769,2,5.0,8,2197,33,189839,85,2,Low,202
38166233,[ABnB](https://www.airbnb.com/rooms/38166233),16.76803,-99.7867,2,-Unknown,1,4004,22,328365,82,7,None,203
39825153,[ABnB](https://www.airbnb.com/rooms/39825153),16.77027,-99.78612,2,-NA,0,14457,0,0,0,7,None,204
43930405,[ABnB](https://www.airbnb.com/rooms/43930405),16.76848,-99.78667,2,-NA,0,6263,0,0,0,7,None,205
38316491,[ABnB](https://www.airbnb.com/rooms/38316491),16.77411,-99.78163,2,4.5,1,2792,90,102877,38,2,None,206
25918776,[ABnB](https://www.airbnb.com/rooms/25918776),16.77104,-99.77341,2,4.35,95,800,74,214713,270,2,None,207
42427924,[ABnB](https://www.airbnb.com/rooms/42427924),16.76127,-99.77655,2,-NA,0,1293,17,22733,17,1,None,208
